Date,Ticker,Close
2025-06-23,AAPL,190.0
2025-06-24,AAPL,193.98
2025-06-25,AAPL,195.27
2025-06-26,AAPL,189.58
2025-06-27,AAPL,187.58
2025-06-30,AAPL,193.96
2025-07-01,AAPL,184.74
2025-07-02,AAPL,183.34
2025-07-03,AAPL,188.17
2025-07-04,AAPL,185.09
2025-07-07,AAPL,182.77
2025-07-08,AAPL,182.6
2025-07-09,AAPL,188.23
2025-07-10,AAPL,186.02
2025-07-11,AAPL,184.55
2025-07-14,AAPL,183.13
2025-07-15,AAPL,191.39
2025-07-16,AAPL,199.96
2025-07-17,AAPL,204.17
2025-07-18,AAPL,205.95
2025-07-21,AAPL,209.2
2025-07-22,AAPL,215.64
2025-07-23,AAPL,211.82
2025-07-24,AAPL,217.01
2025-07-25,AAPL,211.79
2025-07-28,AAPL,209.3
2025-07-29,AAPL,213.31
2025-07-30,AAPL,207.42
2025-07-31,AAPL,207.05
2025-08-01,AAPL,203.69
2025-08-04,AAPL,202.85
2025-08-05,AAPL,191.7
2025-08-06,AAPL,185.1
2025-08-07,AAPL,182.69
2025-08-08,AAPL,186.27
2025-08-11,AAPL,185.81
2025-08-12,AAPL,186.0
2025-08-13,AAPL,188.75
2025-08-14,AAPL,185.62
2025-08-15,AAPL,186.86
2025-08-18,AAPL,184.03
2025-08-19,AAPL,177.86
2025-08-20,AAPL,176.64
2025-08-21,AAPL,178.85
2025-08-22,AAPL,180.24
2025-08-25,AAPL,180.38
2025-08-26,AAPL,189.19
2025-08-27,AAPL,190.94
2025-08-28,AAPL,194.87
2025-08-29,AAPL,203.78
2025-09-01,AAPL,198.71
2025-09-02,AAPL,194.78
2025-09-03,AAPL,201.77
2025-09-04,AAPL,198.75
2025-09-05,AAPL,199.07
2025-09-08,AAPL,203.53
2025-09-09,AAPL,207.36
2025-09-10,AAPL,214.84
2025-09-11,AAPL,221.48
2025-09-12,AAPL,226.44
