Date,Ticker,Close
2025-06-23,SPY,520.0
2025-06-24,SPY,528.79
2025-06-25,SPY,532.64
2025-06-26,SPY,519.04
2025-06-27,SPY,534.28
2025-06-30,SPY,543.44
2025-07-01,SPY,544.47
2025-07-02,SPY,542.48
2025-07-03,SPY,530.02
2025-07-04,SPY,532.67
2025-07-07,SPY,538.19
2025-07-08,SPY,529.78
2025-07-09,SPY,542.62
2025-07-10,SPY,531.26
2025-07-11,SPY,509.23
2025-07-14,SPY,520.33
2025-07-15,SPY,516.65
2025-07-16,SPY,515.87
2025-07-17,SPY,507.74
2025-07-18,SPY,491.94
2025-07-21,SPY,504.78
2025-07-22,SPY,498.33
2025-07-23,SPY,515.39
2025-07-24,SPY,524.22
2025-07-25,SPY,521.45
2025-07-28,SPY,510.64
2025-07-29,SPY,503.68
2025-07-30,SPY,491.96
2025-07-31,SPY,512.99
2025-08-01,SPY,515.19
2025-08-04,SPY,527.56
2025-08-05,SPY,514.71
2025-08-06,SPY,517.09
2025-08-07,SPY,529.79
2025-08-08,SPY,526.77
2025-08-11,SPY,538.16
2025-08-12,SPY,527.03
2025-08-13,SPY,513.18
2025-08-14,SPY,517.59
2025-08-15,SPY,514.18
2025-08-18,SPY,521.3
2025-08-19,SPY,501.2
2025-08-20,SPY,508.84
2025-08-21,SPY,535.79
2025-08-22,SPY,536.06
2025-08-25,SPY,536.96
2025-08-26,SPY,539.43
2025-08-27,SPY,519.88
2025-08-28,SPY,524.83
2025-08-29,SPY,508.5
2025-09-01,SPY,504.66
2025-09-02,SPY,517.71
2025-09-03,SPY,510.62
2025-09-04,SPY,516.25
2025-09-05,SPY,527.22
2025-09-08,SPY,530.69
2025-09-09,SPY,516.67
2025-09-10,SPY,513.75
2025-09-11,SPY,534.39
2025-09-12,SPY,513.28
