Date,Ticker,Close
2025-06-23,JPM,210.0
2025-06-24,JPM,207.89
2025-06-25,JPM,208.6
2025-06-26,JPM,211.93
2025-06-27,JPM,218.96
2025-06-30,JPM,218.0
2025-07-01,JPM,221.76
2025-07-02,JPM,224.2
2025-07-03,JPM,226.55
2025-07-04,JPM,224.22
2025-07-07,JPM,219.97
2025-07-08,JPM,215.35
2025-07-09,JPM,212.31
2025-07-10,JPM,213.89
2025-07-11,JPM,217.35
2025-07-14,JPM,218.98
2025-07-15,JPM,216.79
2025-07-16,JPM,224.84
2025-07-17,JPM,231.9
2025-07-18,JPM,230.49
2025-07-21,JPM,226.92
2025-07-22,JPM,227.74
2025-07-23,JPM,233.74
2025-07-24,JPM,235.53
2025-07-25,JPM,238.38
2025-07-28,JPM,237.61
2025-07-29,JPM,240.02
2025-07-30,JPM,247.67
2025-07-31,JPM,246.73
2025-08-01,JPM,247.69
2025-08-04,JPM,249.19
2025-08-05,JPM,250.85
2025-08-06,JPM,244.02
2025-08-07,JPM,235.11
2025-08-08,JPM,230.55
2025-08-11,JPM,231.55
2025-08-12,JPM,234.35
2025-08-13,JPM,232.1
2025-08-14,JPM,238.72
2025-08-15,JPM,238.28
2025-08-18,JPM,238.61
2025-08-19,JPM,237.92
2025-08-20,JPM,238.8
2025-08-21,JPM,242.4
2025-08-22,JPM,245.87
2025-08-25,JPM,241.7
2025-08-26,JPM,249.31
2025-08-27,JPM,244.1
2025-08-28,JPM,244.73
2025-08-29,JPM,243.63
2025-09-01,JPM,238.76
2025-09-02,JPM,238.64
2025-09-03,JPM,235.34
2025-09-04,JPM,235.92
2025-09-05,JPM,238.06
2025-09-08,JPM,245.31
2025-09-09,JPM,247.06
2025-09-10,JPM,244.29
2025-09-11,JPM,242.62
2025-09-12,JPM,243.54
